endpoints,id_range
GCST000001-GCST001000,"[1, 1000]"
GCST001001-GCST002000,"[1001, 2000]"
GCST002001-GCST003000,"[2001, 3000]"
GCST003001-GCST004000,"[3001, 4000]"
GCST004001-GCST005000,"[4001, 5000]"
GCST005001-GCST006000,"[5001, 6000]"
GCST006001-GCST007000,"[6001, 7000]"
GCST007001-GCST008000,"[7001, 8000]"
GCST008001-GCST009000,"[8001, 9000]"
GCST009001-GCST010000,"[9001, 10000]"
GCST010001-GCST011000,"[10001, 11000]"
GCST011001-GCST012000,"[11001, 12000]"
GCST012001-GCST013000,"[12001, 13000]"
GCST90000001-GCST90001000,"[90000001, 90001000]"
GCST90000019,[90000019]
GCST90000020,[90000020]
GCST90000021,[90000021]
GCST90000022,[90000022]
GCST90000023,[90000023]
GCST90000024,[90000024]
GCST90000025,[90000025]
GCST90000026,[90000026]
GCST90000027,[90000027]
GCST90000032,[90000032]
GCST90000255,[90000255]
GCST90000256,[90000256]
GCST90000287,[90000287]
GCST90000288,[90000288]
GCST90000289,[90000289]
GCST90000290,[90000290]
GCST90000291,[90000291]
GCST90000292,[90000292]
GCST90000293,[90000293]
GCST90000294,[90000294]
GCST90000295,[90000295]
GCST90000296,[90000296]
GCST90000437,[90000437]
GCST90000438,[90000438]
GCST90000439,[90000439]
GCST90000440,[90000440]
GCST90000441,[90000441]
GCST90000442,[90000442]
GCST90000443,[90000443]
GCST90000444,[90000444]
GCST90000445,[90000445]
GCST90000446,[90000446]
GCST90000447,[90000447]
GCST90000448,[90000448]
GCST90000449,[90000449]
GCST90000450,[90000450]
GCST90000451,[90000451]
GCST90000452,[90000452]
GCST90000453,[90000453]
GCST90000454,[90000454]
GCST90000455,[90000455]
GCST90000456,[90000456]
GCST90000457,[90000457]
GCST90000458,[90000458]
GCST90000459,[90000459]
GCST90000460,[90000460]
GCST90000461,[90000461]
GCST90000462,[90000462]
GCST90000463,[90000463]
GCST90000464,[90000464]
GCST90000465,[90000465]
GCST90000466,[90000466]
GCST90000467,[90000467]
GCST90000468,[90000468]
GCST90000469,[90000469]
GCST90000470,[90000470]
GCST90000471,[90000471]
GCST90000472,[90000472]
GCST90000473,[90000473]
GCST90000474,[90000474]
GCST90000475,[90000475]
GCST90000476,[90000476]
GCST90000477,[90000477]
GCST90000478,[90000478]
GCST90000479,[90000479]
GCST90000480,[90000480]
GCST90000481,[90000481]
GCST90000482,[90000482]
GCST90000483,[90000483]
GCST90000484,[90000484]
GCST90000485,[90000485]
GCST90000486,[90000486]
GCST90000487,[90000487]
GCST90000488,[90000488]
GCST90000489,[90000489]
GCST90000490,[90000490]
GCST90000491,[90000491]
GCST90000492,[90000492]
GCST90000493,[90000493]
GCST90000494,[90000494]
GCST90000495,[90000495]
GCST90000496,[90000496]
GCST90000497,[90000497]
GCST90000498,[90000498]
GCST90000499,[90000499]
GCST90000500,[90000500]
GCST90000501,[90000501]
GCST90000502,[90000502]
GCST90000503,[90000503]
GCST90000504,[90000504]
GCST90000505,[90000505]
GCST90000506,[90000506]
GCST90000522,[90000522]
GCST90000523,[90000523]
GCST90000524,[90000524]
GCST90000525,[90000525]
GCST90000526,[90000526]
GCST90000529,[90000529]
GCST90000584,[90000584]
GCST90001001-GCST90002000,"[90001001, 90002000]"
GCST90001389,[90001389]
GCST90001390,[90001390]
GCST90001391,[90001391]
